NFORM,CLANGUE,XLIB,DCREATION,DMAJ,XUSER,UPDATED_BY,MODULE_MF,SIGN_MF
FDDEP02,3,DEPOSIT LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF2gm68145l87kteg5qgdyubyrkatx
FDDEP02,4,DEPOSIT LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF2gm68145l87kteg5qgdyubyrkatx
FDDEP02,5,DEPOSIT LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MF2gm68145l87kteg5qgdyubyrkatx
FDDEP03,2,DEPOSIT REPAYMENT,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFq72f5fxeur0trui25x0i9hvd7vsu
FDDEP03,3,DEPOSIT REPAYMENT,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFq72f5fxeur0trui25x0i9hvd7vsu
FDDEP03,4,DEPOSIT REPAYMENT,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFq72f5fxeur0trui25x0i9hvd7vsu
FDDIV01,1,DISTRIBUTION DIVIDENDE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFe5b5ui848zzyq26tivg4mieu68l0
FDDIV01,2,DIVIDENDS LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFe5b5ui848zzyq26tivg4mieu68l0
FDDIV01,3,DIVIDENDS LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFe5b5ui848zzyq26tivg4mieu68l0
FDDIV01,4,DIVIDENDS LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFe5b5ui848zzyq26tivg4mieu68l0
FDDIV01,5,DIVIDENDS LIST,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFe5b5ui848zzyq26tivg4mieu68l0
FDDIV02,1,DISTRIBUTION DIVIDENDE,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFolmn8gso8rvkfo45y3ng3ufuqqju
FDDIV02,2,DIVIDENDS MANAGEMENT,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFolmn8gso8rvkfo45y3ng3ufuqqju
FDDIV02,3,DIVIDENDS MANAGEMENT,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFolmn8gso8rvkfo45y3ng3ufuqqju
