NFORM,CLANGUE,XLIB,DCREATION,DMAJ,XUSER,UPDATED_BY,MODULE_MF,SIGN_MF
FDCPA01,5,MUST BE DEFINED,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFm9e9h8dwjk4pj59otsfqvhkmqoup
FDCPT01,1,LISTE DES COMPTES,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFm14487f3asrs7nwx7pj1uz9g4w7c
FDCPT01,2,ACCOUNT LIST,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFm14487f3asrs7nwx7pj1uz9g4w7c
FDCPT01,3,ACCOUNT LIST,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFm14487f3asrs7nwx7pj1uz9g4w7c
FDCPT01,4,ACCOUNT LIST,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFm14487f3asrs7nwx7pj1uz9g4w7c
FDCPT01,5,ACCOUNT LIST,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFm14487f3asrs7nwx7pj1uz9g4w7c
FDCPT03,1,RELEVE DE COMPTES,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFfyyp855kddhkth3tkefxu0lal0sk
FDCPT03,2,ACCOUNTS STATEMENT,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFfyyp855kddhkth3tkefxu0lal0sk
FDCPT03,3,ACCOUNTS STATEMENT,09/27/1999 18:01:15,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFfyyp855kddhkth3tkefxu0lal0sk
FDCPT03,5,ACCOUNTS STATEMENT,09/27/1999 18:01:16,09/27/1999 18:46:38,AMS,MANINTF,STDM,MFfyyp855kddhkth3tkefxu0lal0sk
FDCPT04,1,JOURNAL DU COMPTE,09/27/1999 18:01:16,09/27/1999 18:46:39,AMS,MANINTF,STDM,MFcre6tqs7mi1ahf4n14vom3v8ld4n
